Year,Quarter,Revenue_M,JetFuel_per_gal,DPI_B,Recession,AirTran,Flights
2013,q1,1663,1.43,9189,0,0,249119
2013,q2,1944,1.63,9253,0,0,258331
2013,q3,1989,1.89,9308,0,0,261812
2013,q4,1987,1.99,9359,0,0,259377
2014,q1,2019,1.86,9535,0,0,262449
2014,q2,2449,2.12,9619,0,0,270947
2014,q3,2342,2.14,9665,0,0,279032
2014,q4,2276,1.86,9792,0,0,279903
2015,q1,2198,1.81,9836,0,0,276900
2015,q2,2583,2.09,9851,0,0,290647
2015,q3,2588,2.2,9890,0,0,297782
2015,q4,2492,2.58,9944,1,0,295370
2016,q1,2530,2.84,10087,1,0,294790
2016,q2,2869,3.64,10288,1,0,303432
2016,q3,2891,3.57,10054,1,0,300537
2016,q4,2734,2.04,10048,1,0,292392
2017,q1,2357,1.37,9927,1,0,279135
2017,q2,2616,1.59,9916,1,0,289537
2017,q3,2666,1.84,10063,0,0,283663
2017,q4,2712,2.0,9746,0,0,272740
2018,q1,2630,2.1,9882,0,0,261892
2018,q2,3168,2.19,10034,0,0,287222
2018,q3,3192,2.14,10063,0,0,287200
2018,q4,3114,2.38,10087,0,0,287410
2019,q1,3103,2.87,10196,0,0,288092
2019,q2,4136,3.22,10158,0,1,289533
2019,q3,4311,3.08,10126,0,1,349191
2019,q4,4108,3.02,10121,0,1,328640
2020,q1,3991,3.21,10207,0,1,289537
2020,q2,4616,3.04,10289,0,1,283663
